Species List,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Field Sparrow,383,437,461,417,457,633,512,512,460,412,489,380,405,426,263,270,387
Vesper Sparrow,292,389,388,373,323,431,379,503,347,451,453,448,558,484,415,397,387
Lark Sparrow,8,17,8,20,19,23,15,15,30,30,22,18,20,15,21,10,15
Savannah Sparrow,53,62,79,75,59,75,73,67,69,55,84,85,57,48,33,33,32
Grasshopper Sparrow,132,177,193,126,172,163,182,154,228,200,118,126,66,61,54,59,74
Henslow's Sparrow,2,9,6,7,4,5,8,5,7,2,9,2,12,8,0,1,4
Song Sparrow,1632,1605,1669,1646,1517,1869,1720,1683,1527,1510,1546,1700,1562,1521,1147,1064,1130
Swamp Sparrow,3,1,1,1,1,4,1,2,2,1,3,1,3,1,2,5,3
Yellow-breasted Chat,130,137,87,155,167,166,163,166,171,205,202,188,167,181,181,171,212
Yellow-headed Blackbird,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bobolink,31,96,67,95,62,87,39,88,46,49,49,42,39,40,40,25,19
Eastern Meadowlark,1718,1769,1782,1824,1728,2083,1634,1970,1701,1805,1733,1577,1570,1567,1213,1159,1382
Western Meadowlark,154,132,138,187,166,144,155,146,89,115,91,104,92,116,76,84,76
unid. Eastern Meadowlark / Western Meadowlark,0,0,0,3,1,1,1,1,0,2,0,0,1,0,0,0,1
Orchard Oriole,85,98,102,107,100,116,113,124,94,125,84,89,62,89,72,64,83
Baltimore Oriole,255,318,353,288,243,329,262,252,243,170,188,198,179,168,164,146,219
Red-winged Blackbird,14383,16712,16951,17391,14679,17702,14417,14171,12685,14032,13117,13218,10610,11355,9711,9548,10264
Brown-headed Cowbird,1184,1233,1347,1545,1431,1907,1683,1847,1382,1575,1824,1684,1846,1640,1457,1362,1512
Common Grackle,8603,9883,10114,10268,10118,10697,10741,8449,6548,6685,7078,6536,6665,5195,5017,4228,4659
Great-tailed Grackle,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Ovenbird,3,4,7,8,2,6,2,1,2,7,8,1,4,3,6,5,9
Worm-eating Warbler,2,0,1,4,4,3,4,1,4,7,1,1,0,2,6,1,4
Louisiana Waterthrush,2,4,2,3,5,5,9,7,5,7,4,2,2,4,4,6,8
Blue-winged Warbler,1,1,2,1,2,2,0,5,2,1,0,1,2,1,0,0,2
Black-and-white Warbler,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
Prothonotary Warbler,13,6,14,14,15,18,16,16,11,16,8,8,11,10,12,8,25
Kentucky Warbler,27,27,37,38,37,39,26,40,31,48,39,31,36,35,31,42,45
Common Yellowthroat,638,941,831,880,814,957,776,765,805,854,786,926,918,807,717,739,908
